"","Broad_Category","Sum","District"
"1","CTE",2,"Total"
"2","Early Childhood",2,"Total"
"3","Elementary",7,"Total"
"4","English Language Arts Secondary",1,"Total"
"5","Lanugage",3,"Total"
"6","Music",7,"Total"
"7","Other",7,"Total"
"8","STEM",3,"Total"
"9","Special Education",7,"Total"
"10","CTE",1,"Carbon County School District 1"
"11","CTE",1,"Lincoln County School District 1"
"12","Early Childhood",1,"Sweetwater County School District 1"
"13","Early Childhood",1,"Teton County School District 1"
"14","Elementary",1,"Albany Count School District 1"
"15","Elementary",1,"Fremont County School District 38"
"16","Elementary",1,"Laramie County School District 1"
"17","Elementary",2,"Sweetwater County School District 1"
"18","Elementary",2,"Teton County School District 1"
"19","English Language Arts Secondary",1,"Park County School District 1"
"20","Lanugage",2,"Campbell County Scholl District 1"
"21","Lanugage",1,"Carbon County School District 1"
"22","Music",2,"Carbon County School District 2"
"23","Music",1,"Converse County School Distrcit 2"
"24","Music",1,"Crook County School District 1"
"25","Music",1,"Fremont County School District 38"
"26","Music",1,"Goshen County School District 1"
"27","Music",2,"Sweetwater County School District 1"
"28","Other",3,"Campbell County Scholl District 1"
"29","Other",1,"Converse County School Distrcit 2"
"30","Other",1,"Fremont County School District 14"
"31","Other",1,"Natrona School District 1"
"32","Other",1,"Weston County School District 1"
"33","STEM",1,"Carbon County School District 1"
"34","STEM",1,"Fremont County School District 38"
"35","STEM",1,"Goshen County School District 1"
"36","Special Education",1,"Campbell County Scholl District 1"
"37","Special Education",1,"Fremont County School District 14"
"38","Special Education",1,"Fremont County School District 38"
"39","Special Education",1,"Laramie County School District 1"
"40","Special Education",1,"Lincoln County School District 1"
"41","Special Education",1,"Natrona School District 1"
"42","Special Education",1,"Sheridan County School District 2"
